Class,TP,FN,FP,TN,Recall,Precision,Accuracy,F1 Score,Specificity,MCC,Jaccard Index
scissor,5,1,0,12,0.8333333333333334,1.0,0.9444444444444444,0.9090909090909091,1.0,0.7606388292556648,0.8333333333333334
rock,6,0,2,10,1.0,0.75,0.8888888888888888,0.8571428571428571,0.8333333333333334,0.7606388292556648,0.75
paper,4,2,1,11,0.6666666666666666,0.8,0.8333333333333334,0.7272727272727272,0.9166666666666666,0.7606388292556648,0.5714285714285714
